model,horizon_min,MAE,MSE,PSNR,SSIM,CSI,ETS
ConvLSTM,15,0.21,2.2,26.7,0.85,0.28,0.24
EarthFormer,15,0.18,2.0,27.1,0.87,0.29,0.28
SimVP,15,0.18,1.9,27.3,0.9,0.32,0.29
SmaAt-UNet,15,0.16,1.8,27.6,0.91,0.28,0.27
VPTR,15,0.16,1.7,27.8,0.92,0.33,0.31
Ensemble,15,0.15,1.9,27.3,0.9,0.3,0.28
ConvLSTM,30,0.22,2.23,26.5,0.84,0.25,0.21
EarthFormer,30,0.22,2.3,26.5,0.84,0.26,0.22
SimVP,30,0.19,2.0,27.1,0.87,0.28,0.25
SmaAt-UNet,30,0.24,2.6,26.0,0.83,0.22,0.19
VPTR,30,0.2,1.92,27.3,0.89,0.27,0.24
Ensemble,30,0.18,2.3,26.5,0.86,0.26,0.22
ConvLSTM,45,0.27,3.0,25.3,0.78,0.19,0.15
EarthFormer,45,0.25,2.7,25.8,0.8,0.2,0.17
SimVP,45,0.24,2.5,26.1,0.79,0.21,0.19
SmaAt-UNet,45,0.29,2.65,25.9,0.79,0.18,0.16
VPTR,45,0.22,2.4,26.3,0.81,0.22,0.2
Ensemble,45,0.23,2.73,25.7,0.8,0.21,0.18
ConvLSTM,60,0.28,3.12,24.5,0.71,0.13,0.12
EarthFormer,60,0.29,3.1,25.2,0.77,0.15,0.13
SimVP,60,0.26,2.8,25.6,0.71,0.16,0.14
SmaAt-UNet,60,0.3,2.81,25.9,0.79,0.12,0.11
VPTR,60,0.25,2.7,25.8,0.78,0.17,0.15
Ensemble,60,0.31,3.5,24.7,0.75,0.15,0.13
