model,horizon_min,MAE,MSE,PSNR,SSIM,CSI,ETS
ConvLSTM,15,0.28,2.9,24.3,0.78,0.26,0.2
EarthFormer,15,0.25,2.6,24.8,0.8,0.28,0.24
SimVP,15,0.23,2.3,25.3,0.83,0.31,0.26
SmaAt-UNet,15,0.38,4.2,22.7,0.62,0.22,0.21
VPTR,15,0.21,2.2,25.5,0.84,0.32,0.29
Ensemble,15,0.27,2.84,24.4,0.77,0.27,0.25
ConvLSTM,30,0.34,3.4,23.6,0.72,0.19,0.17
EarthFormer,30,0.26,2.65,24.7,0.79,0.25,0.23
SimVP,30,0.26,2.7,24.6,0.8,0.19,0.17
SmaAt-UNet,30,0.49,5.6,21.5,0.46,0.14,0.13
VPTR,30,0.29,3.1,24.0,0.75,0.24,0.21
Ensemble,30,0.32,3.45,23.6,0.7,0.19,0.18
ConvLSTM,45,0.45,5.2,21.8,0.55,0.12,0.11
EarthFormer,45,0.36,3.9,23.0,0.66,0.14,0.14
SimVP,45,0.49,5.4,21.6,0.61,0.15,0.1
SmaAt-UNet,45,0.56,6.8,20.6,0.35,0.08,0.05
VPTR,45,0.29,3.12,24.0,0.74,0.18,0.16
Ensemble,45,0.42,4.85,22.1,0.58,0.13,0.11
ConvLSTM,60,0.52,6.1,21.1,0.47,0.11,0.1
EarthFormer,60,0.41,4.6,22.3,0.59,0.13,0.12
SimVP,60,0.51,5.56,21.5,0.52,0.09,0.07
SmaAt-UNet,60,0.64,7.9,20.0,0.26,0.04,0.02
VPTR,60,0.33,3.5,23.5,0.68,0.15,0.13
Ensemble,60,0.47,5.48,21.6,0.5,0.12,0.1
